연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2021,04,읍면동,경기도 고양시 일산동구 백석2동,20953,892,1309,3478,3345,3697,3880,2399,1150,700,97,6,10095,437,681,1602,1632,1811,1981,1214,497,216,23,1,10858,455,628,1876,1713,1886,1899,1185,653,484,74,5
2021,04,읍면동,경기도 고양시 일산동구 식사동 ,36783,3626,4831,4978,4124,7246,6564,3210,1391,700,107,6,17898,1869,2487,2491,1846,3359,3302,1674,584,256,28,2,18885,1757,2344,2487,2278,3887,3262,1536,807,444,79,4
2021,04,읍면동,경기도 고양시 일산동구 장항1동,11372,1404,962,1263,1853,2081,1941,1208,448,175,36,1,5820,755,496,661,870,1058,1006,661,240,67,6,0,5552,649,466,602,983,1023,935,547,208,108,30,1
2021,04,읍면동,경기도 고양시 일산동구 장항2동,26971,1071,1564,5075,4820,4780,4859,2579,1262,845,109,7,13131,555,787,2341,2459,2326,2411,1361,513,339,35,4,13840,516,777,2734,2361,2454,2448,1218,749,506,74,3
2021,04,읍면동,경기도 고양시 일산동구 정발산동,23539,1238,2053,3949,2906,3556,4481,3052,1437,758,107,2,11361,651,1024,2051,1508,1637,2081,1471,642,268,27,1,12178,587,1029,1898,1398,1919,2400,1581,795,490,80,1
2021,04,읍면동,경기도 고양시 일산동구 중산동 ,47036,3338,4397,6818,5473,7292,9164,5900,2738,1622,289,5,22718,1687,2300,3587,2694,3462,4260,2914,1178,561,74,1,24318,1651,2097,3231,2779,3830,4904,2986,1560,1061,215,4
2021,04,읍면동,경기도 고양시 일산동구 풍산동 ,39084,3128,4439,5392,4705,6732,7038,4359,2031,1085,173,2,18835,1576,2290,2727,2274,3163,3360,2142,854,401,48,0,20249,1552,2149,2665,2431,3569,3678,2217,1177,684,125,2
2021,04,구,경기도 고양시 일산서구,300501,22078,33181,42303,36110,51153,55994,32861,15862,9509,1406,44,145841,11263,16885,21755,17663,23961,27254,16612,6648,3412,378,10,154660,10815,16296,20548,18447,27192,28740,16249,9214,6097,1028,34
2021,04,읍면동,경기도 고양시 일산서구 대화동 ,36370,2263,2993,6306,5315,5578,6802,4127,1834,991,153,8,17629,1151,1590,3046,2714,2645,3238,2060,803,338,41,3,18741,1112,1403,3260,2601,2933,3564,2067,1031,653,112,5
2021,04,읍면동,경기도 고양시 일산서구 송산동 ,51720,4500,6243,6689,5696,9651,9487,5495,2505,1257,192,5,25522,2287,3138,3512,2697,4636,4853,2780,1101,479,39,0,26198,2213,3105,3177,2999,5015,4634,2715,1404,778,153,5
