시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
평택시,세교동,1076,188,888,0,480,392,204,52,817,1.32,0,2020-03-10
평택시,소사동,268,74,194,0,107,79,82,39,184,1.46,0,2020-03-10
평택시,신대동,50,12,38,0,25,13,12,16,33,1.52,0,2020-03-10
평택시,신장동,1131,119,1011,1,632,348,151,62,799,1.42,0,2020-03-10
평택시,안중읍,1758,297,1461,0,778,653,327,71,1301,1.35,5,2020-03-10
평택시,오성면,453,261,192,0,100,89,264,51,276,1.64,0,2020-03-10
평택시,용이동,1255,201,1054,0,591,444,220,62,957,1.31,2,2020-03-10
평택시,월곡동,31,4,25,2,12,15,4,16,20,1.55,0,2020-03-10
평택시,유천동,24,9,15,0,12,4,8,7,20,1.2,0,2020-03-10
평택시,이충동,1249,135,1114,0,559,528,162,54,978,1.28,1,2020-03-10
평택시,장당동,399,33,366,0,205,155,39,36,324,1.23,0,2020-03-10
평택시,장안동,267,51,215,1,123,89,55,33,207,1.29,0,2020-03-10
평택시,죽백동,453,93,360,0,192,160,101,45,333,1.36,0,2020-03-10
평택시,지산동,1321,217,1104,0,670,432,219,66,1012,1.31,4,2020-03-10
평택시,지제동,58,15,43,0,23,15,20,20,30,1.93,0,2020-03-10
평택시,진위면,627,207,420,0,240,177,210,53,393,1.6,0,2020-03-10
평택시,청룡동,14,4,10,0,2,8,4,8,10,1.4,0,2020-03-10
평택시,청북읍,1019,223,796,0,412,359,248,80,680,1.44,2,2020-03-10
평택시,칠괴동,71,13,58,0,25,32,14,22,51,1.39,0,2020-03-10
평택시,칠원동,183,40,143,0,81,63,39,28,119,1.54,0,2020-03-10
평택시,통복동,383,57,324,2,158,162,63,40,296,1.29,0,2020-03-10
평택시,팽성읍,1319,347,970,2,574,372,373,70,917,1.44,1,2020-03-10
평택시,평택동,335,43,292,0,180,109,46,41,244,1.37,4,2020-03-10
평택시,포승읍,1093,154,938,1,482,437,174,52,773,1.41,1,2020-03-10
평택시,합정동,1018,147,870,1,509,348,161,51,759,1.34,3,2020-03-10
평택시,현덕면,208,58,150,0,72,68,68,33,128,1.63,0,2020-03-10
포천시,가산면,594,1,593,0,420,118,56,59,239,2.49,0,2021-06-21
포천시,관인면,139,1,138,0,46,43,50,23,91,1.53,0,2021-06-21
포천시,군내면,731,3,727,1,416,93,222,58,345,2.12,1,2021-06-21
포천시,내촌면,257,7,250,0,136,58,63,38,128,2.01,0,2021-06-21
포천시,동교동,73,0,73,0,52,18,3,25,40,1.83,0,2021-06-21
포천시,선단동,849,10,838,1,619,124,106,52,525,1.62,1,2021-06-21
포천시,설운동,68,0,68,0,42,8,18,20,38,1.79,0,2021-06-21
포천시,소흘읍,3879,15,3863,1,2671,1008,200,86,1706,2.27,3,2021-06-21
포천시,신북면,938,7,928,3,613,101,224,64,521,1.8,0,2021-06-21
포천시,신읍동,1290,11,1279,0,943,113,234,57,840,1.54,2,2021-06-21
포천시,어룡동,195,2,193,0,138,25,32,37,95,2.05,0,2021-06-21
포천시,영북면,422,8,414,0,226,102,94,43,282,1.5,0,2021-06-21
포천시,영중면,489,18,470,1,311,58,120,40,160,3.06,0,2021-06-21
포천시,이동면,333,6,326,1,157,66,110,42,193,1.73,0,2021-06-21
포천시,일동면,501,6,495,0,274,63,164,54,304,1.65,0,2021-06-21
포천시,자작동,64,0,64,0,34,14,16,13,33,1.94,0,2021-06-21
포천시,창수면,130,0,128,2,88,8,34,28,51,2.55,0,2021-06-21
포천시,화현면,140,0,138,2,68,17,55,27,80,1.75,0,2021-06-21
하남시,-,13217,1008,12202,7,8046,3598,1573,119,9827,1.34,22,2021-06-24
화성시,금곡동,26,4,22,0,13,9,4,10,16,1.63,,2020-03-11
화성시,기산동,499,22,476,1,265,195,39,41,387,1.29,,2020-03-11
화성시,기안동,698,24,674,0,427,189,82,47,556,1.26,1,2020-03-11
화성시,남양읍,1270,227,1041,2,663,380,227,130,907,22.82,0,2020-03-11
화성시,능동,2148,85,2062,1,1186,822,140,60,1709,1.26,3,2020-03-11
화성시,동탄면,139,4,135,0,72,66,1,33,104,1.34,1,2020-03-11
화성시,마도면,293,47,246,0,169,80,44,50,168,1.74,1,2020-03-11
화성시,매송면,288,52,236,0,132,81,75,34,205,1.4,,2020-03-11
화성시,목동,534,38,495,1,305,178,51,38,412,1.29,1,2020-03-11
화성시,반송동,3096,96,2999,1,1832,1140,124,68,2464,1.26,9,2020-03-11
화성시,반월동,1006,41,965,0,571,367,68,55,818,1.23,3,2020-03-11
화성시,반정동,50,2,48,0,32,14,4,18,35,1.43,,2020-03-11
화성시,방교동,71,5,66,0,53,11,7,22,43,1.65,,2020-03-11
화성시,배양동,36,6,30,0,23,6,7,15,24,1.5,,2020-03-11
화성시,병점동,2068,44,2020,4,1145,806,117,64,1664,1.24,4,2020-03-11
화성시,봉담읍,3278,163,3113,2,1925,1052,301,75,2488,1.32,6,2020-03-11
화성시,비봉면,212,47,164,1,109,53,50,39,133,1.59,,2020-03-11
화성시,산척동,595,70,525,0,314,190,91,45,460,1.29,1,2020-03-11
화성시,새솔동,362,48,314,0,193,94,75,32,285,1.27,1,2020-03-11
화성시,서신면,232,36,196,0,130,68,34,43,142,1.63,,2020-03-11
화성시,석우동,573,21,552,0,368,177,28,41,479,1.2,,2020-03-11
화성시,송동,145,17,128,0,78,52,15,29,121,1.2,,2020-03-11
화성시,송산동,464,16,447,1,223,205,36,42,339,1.37,2,2020-03-11
화성시,송산면,361,35,325,1,226,98,37,45,225,1.6,1,2020-03-11
화성시,신동,3,0,3,0,3,0,0,3,2,1.5,,2020-03-11
화성시,안녕동,1414,46,1366,2,1078,266,70,58,448,3.16,,2020-03-11
화성시,양감면,175,48,127,0,42,69,64,29,91,1.92,,2020-03-11
화성시,영천동,889,44,845,0,497,306,86,45,672,1.32,4,2020-03-11
화성시,오산동,455,33,422,0,253,158,44,48,377,1.21,1,2020-03-11
화성시,우정읍,649,57,591,1,332,249,68,53,425,1.53,1,2020-03-11
화성시,우정읍,649,57,591,1,332,249,68,53,425,1.53,1,2020-03-11
화성시,원천동,2,0,2,0,2,0,0,2,1,2,,2020-03-11
화성시,장덕동,4,0,4,0,1,3,0,2,3,1.33,,2020-03-11
화성시,장안면,420,64,355,1,200,148,72,43,227,1.85,,2020-03-11
화성시,장안면,420,64,355,1,200,148,72,43,227,1.85,,2020-03-11
화성시,장전동,2,0,2,0,0,2,0,2,1,2,,2020-03-11
화성시,장지동,389,40,349,0,208,138,43,41,297,1.31,,2020-03-11
화성시,장지동,389,40,349,0,208,138,43,41,297,1.31,,2020-03-11
